gen,nevals,avg,std,min,max,diversity,improvement_rate,stagnation,sr_cx,sr_mut,cx_applied,mut_applied,op_sel,op_cx,op_mut,cxpb,mutpb,switch_interval,since_last_switch,switch_effective,op_sel_param,op_cx_param,op_mut_param
14,40,0.971447735858821,0.003274724536741735,0.9584136003726129,0.9764250892718522,0.05604519774011299,0.00230329767629286,0,0.14705882352941177,0.0,34,6,tournament3,two_point,flip_bit,0.6,0.2,20,0,,"{""tournsize"": 3}",{},"{""indpb"": 0.03333333333333333}"
15,40,0.9719017388604255,0.0032124812283052017,0.9634621953112871,0.9770917559385187,0.059566854990583805,0.0004673468112034948,0,0.0625,0.125,32,8,tournament3,two_point,flip_bit,0.6,0.2,20,0,,"{""tournsize"": 3}",{},"{""indpb"": 0.03333333333333333}"
16,45,0.9711116131035554,0.004771571370096157,0.9490215804999224,0.9770917559385187,0.05542372881355932,-0.0008129687655426313,1,0.0,0.3333333333333333,42,3,tournament3,two_point,flip_bit,0.6,0.2,20,0,,"{""tournsize"": 3}",{},"{""indpb"": 0.03333333333333333}"
17,33,0.9718970397971329,0.003413254395845811,0.961968948920975,0.9770917559385187,0.05192090395480226,0.0008087913716399477,2,0.03571428571428571,0.0,28,5,tournament3,two_point,flip_bit,0.6,0.2,20,0,,"{""tournsize"": 3}",{},"{""indpb"": 0.03333333333333333}"
18,43,0.9717030895823631,0.003716872171783837,0.9542536873156342,0.9774972830305851,0.04598870056497175,-0.00019955839644325975,0,0.0,0.0,38,5,tournament3,two_point,flip_bit,0.6,0.2,20,0,,"{""tournsize"": 3}",{},"{""indpb"": 0.03333333333333333}"
19,36,0.972290990011903,0.0038493765299506054,0.9513339543549139,0.9774972830305851,0.046139359698681735,0.0006050206445187003,1,0.08823529411764706,0.5,34,2,tournament3,two_point,flip_bit,0.6,0.2,20,0,,"{""tournsize"": 3}",{},"{""indpb"": 0.03333333333333333}"
20,36,0.9722102416808985,0.0029867875136604244,0.9654621953112871,0.9774972830305851,0.06374764595103578,-8.304955186664529e-05,2,0.0,0.35714285714285715,22,14,tournament,uniform,flip_bit,0.4,0.4,20,0,,"{""tournsize"": 2}","{""indpb"": 0.5}","{""indpb"": 0.0333}"
21,33,0.9720459038451584,0.003423323857771114,0.9619689489209751,0.9775128085700977,0.06862523540489641,-0.00016903528547073467,0,0.08333333333333333,0.19047619047619047,12,21,tournament,uniform,flip_bit,0.4,0.4,20,0,,"{""tournsize"": 2}","{""indpb"": 0.5}","{""indpb"": 0.0333}"
22,39,0.9717177094654039,0.0038586774910553687,0.9594857941313462,0.9775128085700977,0.07990583804143127,-0.0003376325937450677,1,0.045454545454545456,0.058823529411764705,22,17,tournament,uniform,flip_bit,0.4,0.4,20,0,,"{""tournsize"": 2}","{""indpb"": 0.5}","{""indpb"": 0.0333}"
23,43,0.971549940485432,0.004445697766653525,0.9496571960875639,0.9775128085700977,0.08468926553672315,-0.0001726519732405089,2,0.06666666666666667,0.0,30,13,tournament,uniform,flip_bit,0.4,0.4,20,0,,"{""tournsize"": 2}","{""indpb"": 0.5}","{""indpb"": 0.0333}"
